"region","functionality_main","water_months","seasonality","dryness","dryness_duration","puits_safety","latitude","longitude","photo"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.6075297,-8.00722158,"https://akvoflow-87.s3.amazonaws.com/images/98ee8f14-743d-422b-95ea-9b9fa97ccc66.jpg"
"Bamako","non utilisé",NA,"No",NA,NA,"Non",12.59788285,-8.00936618,"https://akvoflow-87.s3.amazonaws.com/images/6ecdeefd-fd79-4a52-bba3-5ff74878a6e0.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.56101351,-8.00345817,"https://akvoflow-87.s3.amazonaws.com/images/15c8d3a2-a746-4294-888e-721d03288392.jpg"
"Bamako","fonctionnel",10,"Yes","non",NA,"Non",12.58861198,-7.94410691,"https://akvoflow-87.s3.amazonaws.com/images/c8d143c3-a405-4568-b478-f44b13ba0906.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.59786733,-8.00948974,"https://akvoflow-87.s3.amazonaws.com/images/8c3a4f87-f78d-42f9-b92b-844ee9fef697.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.70016871,-8.01170401,"https://akvoflow-87.s3.amazonaws.com/images/0b305bf2-d0ed-44b8-9f3e-fdc5ee6c5a8c.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.51471014,-7.92052293,"https://akvoflow-87.s3.amazonaws.com/images/659fa72a-3f0a-4d47-a69d-97704ac24918.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.68214766,-7.95020232,"https://akvoflow-87.s3.amazonaws.com/images/49318ae8-852a-4dca-b8fa-c6ff74ab5627.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.68246613,-7.97124096,"https://akvoflow-87.s3.amazonaws.com/images/6eca7669-e77c-4689-9608-32cff6aec2c8.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.5982655,-8.00514051,"https://akvoflow-87.s3.amazonaws.com/images/7d0addf0-6404-439c-bac8-04026bfde554.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.68692582,-7.94408863,"https://akvoflow-87.s3.amazonaws.com/images/3e59d0e4-0bfa-44f2-913d-d15511b5a0c7.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.67964408,-7.97854991,"https://akvoflow-87.s3.amazonaws.com/images/512dfcbc-9302-4dfd-8929-d67b527e37b6.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.67969786,-7.97851664,"https://akvoflow-87.s3.amazonaws.com/images/9b4fcd48-735b-4525-a0b0-86d9ccee2829.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.67975572,-7.97828337,"https://akvoflow-87.s3.amazonaws.com/images/565aaa5b-7bff-4bd1-bdf7-7fa849da663e.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.65442818,-7.97201418,"https://akvoflow-87.s3.amazonaws.com/images/ea48e098-5b60-4daa-9ebc-9ce0ac824e94.jpg"
"Bamako","fonctionnel",9,"Yes","non",NA,"Non",12.68153066,-7.97846137,"https://akvoflow-87.s3.amazonaws.com/images/9ef8b456-cf5e-4e3f-bb7b-3fa9ac40461b.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.67766991,-7.96501564,"https://akvoflow-87.s3.amazonaws.com/images/60d3d505-0b53-4e99-a148-3ea40785e50d.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.68114698,-7.96320204,"https://akvoflow-87.s3.amazonaws.com/images/a5cbf1d8-886b-4ec1-a116-778e1f5297e5.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.65640019,-7.97779373,"https://akvoflow-87.s3.amazonaws.com/images/a894f38b-d015-47f2-8196-4dc3abca3257.jpg"
"Bamako","fonctionnel",12,"No",NA,NA,"Non",12.67631685,-7.97343721,"https://akvoflow-87.s3.amazonaws.com/images/197486d2-4c45-476b-81db-86ee437ffff7.jpg"
"Bamako","non utilisé",NA,"No",NA,NA,"Non",12.68877501,-7.96283231,"https://akvoflow-87.s3.amazonaws.com/images/92a283de-2754-4569-9c70-39c435426634.jpg"
"Bamako","non utilisé",NA,"No",NA,NA,"Non",12.68421834,-7.96330141,"https://akvoflow-87.s3.amazonaws.com/images/85b38157-ddd0-49f3-b31b-f91fb36fe115.jpg"
"Bamako","fonctionnel",8,"Yes","non",NA,"Non",12.6067122,-8.05938099,"https://akvoflow-87.s3.amazonaws.com/images/f7cdec9a-0336-4019-9dd3-41ae51624b9a.jpg"
