"identifier";"province";"district";"chiefdom";"community";"water point name";"implementing partner";"facility";"geo latitude";"geo longitude";"geo elevation";"water_supply_type";"pH high";"pH low";"ammonia";"fluoride";"iron";"nitrate";"phosphate";"potassium";"sulfate";"nitrite";"chloride";"turbidity";"electrical conductivity";"temperature";"barcode";"ecoli risk indication";"MPN_100ml";"conf_inter_95";"risk_assessment"
"4ccc-sj1u-6fjm";"Eastern";"Kenema";"Lower Bambara";"BUIMA TONGO";"RC PRI BUIMA WATER POINT";"4";"School";"8.216168333333334";"-11.059544999999998";"207.0";"New hand dug well - handpump";7,55;NA;0,06;0,05;0,2;17,6;0,31;4;100;0,01;NA;0;361;33,7;"03860";"Intermediate Risk / Possibly Safe";"9.6";"37.68";1
"c75v-701b-24en";"Eastern";"Kenema";"Lower Bambara";"NGIEHUN";"EVANGELICAL PRI SCH NGIEHUN WATER POINT";"4";"School";"8.163506666666667";"-11.089820000000001";"264.5";"New hand dug well - handpump";6,5;NA;0,07;0,19;0,1;2,4;2,05;0,6;26;0,01;NA;0;52;33,6;"03855";"Intermediate Risk / Probably Safe";"1.5";"7.81";3
"hucb-px3b-34nu";"Eastern";"Kenema";"Lower Bambara";"DONDOMA TONGO";"KNOW YOUR RELIGION ISLAMIC PRI SCH WATER POINT";"5";"School";"8.220281666666667";"-11.053241666666668";"183.9";"New hand dug well - handpump";7,62;NA;0,05;0,06;NA;5,8;0,05;0,6;11;0,01;NA;0;222;33,7;"03859";"Intermediate Risk / Probably Safe";"1.2";"5.64";2
"bh4k-yu6y-te2w";"Eastern";"Kenema";"Lower Bambara";"LALEHUN";"RC PRI SCH WATER POINT LALEHUN";"4";"School";"8.200565000000001";"-11.080589999999999";"246.8";"New hand dug well - handpump";6,5;NA;0,03;0,05;0,09;1,6;0,13;0,7;5;0,01;NA;0;118;33,9;"03856";"Intermediate Risk / Possibly Safe";"4.7";"22.75";1
"neh7-88nr-7vpn";"Eastern";"Kenema";"Lower Bambara";"BOMIE TONGO";"EVANGELICAL PRI SCH WATER POINT BOMIE";"4";"School";"8.227305";"-11.048646666666665";"219.8";"New hand dug well - handpump";6,52;NA;0,02;0,34;0,11;1,5;0,05;0,7;5;0,01;NA;0;82;34,1;"03858";"Low Risk / Safe";"0";"2.87";1
"fvrv-c59r-2exc";"Eastern";"Kenema";"Lower Bambara";"BOMIE TONGO";"NATIONAL ISLAMIC PRI SCH WATER POINT BOMIE";"4";"School";"8.228841666666666";"-11.046946666666667";"211.3";"New hand dug well - handpump";6,5;NA;0,03;0,05;NA;1;0,2;0,7;5;NA;NA;0;48;34,3;"03857";"Intermediate Risk / Probably Safe";"1.2";"5.64";1
"cset-ngu4-7dns";"North Western";"Port Loko";"Marampa";"LUNSAR";"8A OLD TOWN ROAD, LUNSAR";NA;"Community water point";"8.678453333333332";"-12.533165";"50.6";"New borehole with mechanised pump";6,5;NA;0,1;0,31;0,31;5,3;0,17;6,7;5;0,03;NA;0;104;NA;"02093";"Intermediate Risk / Probably Safe";"3.2";"8.38";2
"jgah-tn3j-mcyu";"North Western";"Karene";"Buya";"GBOMSAMBA";"GBOMSAMBA CHP";NA;"PHU";"8.803355";"-12.358006666666665";"62.4";"New borehole with mechanised pump";6,5;NA;0,02;0,05;0,92;1;0,12;1,8;5;0,01;NA;12;92;NA;"02091";"Intermediate Risk / Probably Safe";"2";"6.32";1
"spe1-tauk-7shr";"North Western";"Port Loko";"Marampa";"MAGBIL";"MAGBIL CHP";NA;"PHU";"8.693765";"-12.489066666666668";"68.5";"Rehabilitated hand dug well with mechanised pump";6,5;NA;0,11;0,05;0,11;2,3;0,06;0,6;60;0,01;NA;0;50;NA;"02092";"Intermediate Risk / Probably Safe";"2";"6.32";2
"c2xw-asqc-ef79";"Southern";"Bo";"Selenga";NA;NA;NA;NA;"8.124043333333333";"-11.704338333333332";"50.0";"New hand dug well with mechanised pump";7,8;NA;NA;NA;NA;1,8;0,05;NA;NA;NA;NA;NA;208;NA;"03391";"Intermediate Risk / Possibly Safe";"4.7";"22.75";5
"u4a4-1cd7-symc";"Northern";"Bombali";"Safroko Limba";"KABOMBEH CHP";"HANDDUG WELL";NA;"PHU";"8.875515";"-11.9954927";"119.11000061035156";"Rehabilitated hand dug well - handpump";6,61;NA;0,04;0,05;0,11;NA;0,05;1,7;5;0,01;NA;0;56;NA;"02120";"High Risk / Possibly Unsafe";"13.6";"83.06";3
"tdxu-ufuc-m0tw";"Northern";"Bombali";"Safroko Limba";"KADALA PRI SCH";"HAND DUG WELL";NA;"School";"9.0398033";"-11.8167828";"164.36000061035156";"New hand dug well - handpump";7,68;NA;0,05;0,05;0,02;2,4;0,09;1,8;100;0,01;NA;0;261;NA;"02124";"Low Risk / Safe";"0";"2.87";1
"pnm8-mgyj-4j6x";"Northern";"Bombali";"Safroko Limba";"KAMONKOH";"HAND DUG WELL";NA;"Community water point";"9.0070726";"-11.8565682";"145.69000244140625";"New hand dug well - handpump";6,5;NA;0,02;0,05;0,05;1;NA;0,6;49;0,01;NA;0;106;NA;"02121";"Very High Risk / Unsafe";">100";"9435.1";0
"mpbb-dj4j-bqd8";"Northern";"Bombali";"Biriwa";"KANIKAY JUNCTION";"HAND DUG WELL";NA;"Community water point";"9.3191687";"-11.870072";"158.1699981689453";"New hand dug well - handpump";6,5;NA;0,02;0,05;0,02;6,4;0,05;0,9;39;0,01;NA;0;106;NA;"02119";"Very High Risk / Unsafe";">100";"9435.1";3
"ujqv-7h1s-jgjd";"Northern";"Bombali";"Safroko Limba";"KABARAY COMMUNITY SCH";"HAND DUG WELL";NA;"School";"8.9995919";"-11.8661583";"145.9199981689453";"New hand dug well - handpump";6,5;NA;0,02;0,05;0,02;1;0,22;7,9;49;0,01;NA;0;146;NA;"02123";"Very High Risk / Unsafe";">100";"9435.1";3
